Opt.,Const.,of,B-Spline,vs.,nm
Wavelength_(nm),n_5_gold,k_5_gold,n_20_Pd,k_20_Pd,n_MS_9_to_17,k_MS_9_to_17
473.000000,1.094919,1.893005,1.559065,3.468564,1.830444,3.231408,
474.000000,1.084407,1.890533,1.561907,3.474927,1.832434,3.236812,
475.000000,1.073532,1.888104,1.564752,3.481279,1.834423,3.242212,
476.000000,1.062282,1.885732,1.567598,3.487621,1.836411,3.247608,
477.000000,1.050645,1.883431,1.570447,3.493952,1.838398,3.253001,
478.000000,1.038609,1.881215,1.573299,3.500273,1.840383,3.258390,
479.000000,1.026163,1.879101,1.576152,3.506583,1.842367,3.263775,
480.000000,1.013293,1.877108,1.579007,3.512882,1.844350,3.269157,
481.000000,0.999986,1.875257,1.581864,3.519172,1.846331,3.274535,
482.000000,0.986229,1.873572,1.584723,3.525450,1.848310,3.279910,
483.000000,0.972007,1.872078,1.587583,3.531718,1.850287,3.285282,
484.000000,0.957306,1.870807,1.590445,3.537976,1.852262,3.290650,
485.000000,0.942108,1.869798,1.593308,3.544223,1.854234,3.296015,
486.000000,0.926403,1.869110,1.596172,3.550459,1.856205,3.301378,
487.000000,0.910206,1.868799,1.599037,3.556685,1.858173,3.306738,
488.000000,0.893538,1.868914,1.601903,3.562901,1.860138,3.312097,
489.000000,0.876426,1.869497,1.604770,3.569106,1.862101,3.317453,
490.000000,0.858900,1.870586,1.607638,3.575300,1.864063,3.322808,
491.000000,0.840991,1.872217,1.610507,3.581485,1.866022,3.328161,
492.000000,0.822734,1.874421,1.613377,3.587659,1.867980,3.333513,
493.000000,0.804166,1.877226,1.616247,3.593822,1.869936,3.338863,
494.000000,0.785327,1.880656,1.619117,3.599976,1.871890,3.344212,
495.000000,0.766257,1.884734,1.621988,3.606118,1.873843,3.349560,
496.000000,0.747001,1.889476,1.624859,3.612251,1.875794,3.354907,
497.000000,0.727602,1.894897,1.627730,3.618374,1.877745,3.360253,
498.000000,0.708107,1.901005,1.630602,3.624486,1.879694,3.365598,
499.000000,0.688561,1.907808,1.633473,3.630589,1.881642,3.370942,
500.000000,0.669012,1.915306,1.636345,3.636681,1.883590,3.376285,
501.000000,0.649507,1.923497,1.639216,3.642763,1.885537,3.381627,
502.000000,0.630094,1.932374,1.642087,3.648835,1.887484,3.386968,
503.000000,0.610819,1.941924,1.644958,3.654897,1.889430,3.392308,
504.000000,0.591729,1.952131,1.647828,3.660949,1.891376,3.397647,
505.000000,0.572868,1.962972,1.650698,3.666991,1.893322,3.402985,
506.000000,0.554275,1.974411,1.653567,3.673024,1.895269,3.408321,
507.000000,0.535977,1.986415,1.656435,3.679046,1.897215,3.413657,
508.000000,0.517996,1.998955,1.659303,3.685059,1.899161,3.418991,
509.000000,0.500353,2.012000,1.662170,3.691063,1.901108,3.424324,
510.000000,0.483066,2.025522,1.665037,3.697056,1.903055,3.429655,
511.000000,0.466150,2.039493,1.667902,3.703040,1.905002,3.434984,
512.000000,0.449619,2.053884,1.670767,3.709015,1.906950,3.440312,
513.000000,0.433484,2.068667,1.673630,3.714980,1.908898,3.445639,
514.000000,0.417755,2.083816,1.676493,3.720936,1.910846,3.450963,
515.000000,0.402441,2.099303,1.679354,3.726882,1.912795,3.456286,
516.000000,0.387549,2.115101,1.682214,3.732819,1.914744,3.461606,
517.000000,0.373081,2.131185,1.685073,3.738746,1.916694,3.466925,
518.000000,0.359044,2.147530,1.687931,3.744665,1.918644,3.472242,
519.000000,0.345438,2.164110,1.690787,3.750574,1.920594,3.477557,
520.000000,0.332265,2.180901,1.693642,3.756474,1.922545,3.482869,
521.000000,0.319526,2.197881,1.696496,3.762364,1.924496,3.488180,
522.000000,0.307218,2.215025,1.699348,3.768246,1.926448,3.493488,
523.000000,0.295341,2.232311,1.702199,3.774118,1.928401,3.498794,
524.000000,0.283891,2.249717,1.705048,3.779982,1.930354,3.504098,
525.000000,0.272867,2.267220,1.707896,3.785836,1.932307,3.509399,
526.000000,0.262264,2.284798,1.710741,3.791682,1.934261,3.514698,
527.000000,0.252078,2.302426,1.713586,3.797518,1.936215,3.519995,
528.000000,0.242298,2.320077,1.716428,3.803345,1.938170,3.525289,
529.000000,0.232908,2.337730,1.719269,3.809163,1.940125,3.530580,
530.000000,0.223892,2.355367,1.722107,3.814972,1.942081,3.535869,
531.000000,0.215235,2.372974,1.724944,3.820772,1.944038,3.541155,
532.000000,0.206920,2.390539,1.727778,3.826564,1.945994,3.546439,
533.000000,0.198933,2.408050,1.730611,3.832345,1.947952,3.551719,
534.000000,0.191259,2.425498,1.733440,3.838119,1.949909,3.556997,
535.000000,0.183884,2.442875,1.736268,3.843883,1.951867,3.562272,
536.000000,0.176794,2.460175,1.739092,3.849638,1.953826,3.567544,
537.000000,0.169974,2.477392,1.741914,3.855385,1.955784,3.572813,
538.000000,0.163412,2.494521,1.744733,3.861123,1.957743,3.578079,
539.000000,0.157096,2.511558,1.747550,3.866852,1.959702,3.583342,
540.000000,0.151013,2.528501,1.750363,3.872572,1.961661,3.588602,
541.000000,0.145152,2.545346,1.753173,3.878284,1.963621,3.593859,
542.000000,0.139500,2.562092,1.755979,3.883988,1.965581,3.599112,
543.000000,0.134048,2.578737,1.758782,3.889683,1.967541,3.604363,
544.000000,0.128784,2.595283,1.761582,3.895370,1.969501,3.609610,
545.000000,0.123699,2.611727,1.764378,3.901048,1.971461,3.614854,
546.000000,0.118783,2.628072,1.767171,3.906719,1.973421,3.620095,
547.000000,0.114027,2.644318,1.769959,3.912382,1.975381,3.625333,
548.000000,0.109420,2.660467,1.772744,3.918036,1.977341,3.630567,
549.000000,0.104956,2.676522,1.775524,3.923683,1.979301,3.635797,
550.000000,0.100626,2.692485,1.778300,3.929323,1.981261,3.641025,
551.000000,0.096421,2.708364,1.781072,3.934955,1.983221,3.646248,
552.000000,0.092340,2.724163,1.783839,3.940579,1.985181,3.651469,
553.000000,0.088380,2.739886,1.786602,3.946197,1.987140,3.656685,
554.000000,0.084538,2.755535,1.789361,3.951808,1.989100,3.661897,
555.000000,0.080813,2.771113,1.792115,3.957412,1.991059,3.667106,
556.000000,0.077202,2.786622,1.794864,3.963010,1.993017,3.672311,
557.000000,0.073703,2.802062,1.797609,3.968601,1.994974,3.677511,
558.000000,0.070315,2.817434,1.800349,3.974185,1.996931,3.682708,
559.000000,0.067035,2.832740,1.803084,3.979764,1.998887,3.687901,
560.000000,0.063863,2.847980,1.805815,3.985337,2.000842,3.693090,
561.000000,0.060795,2.863155,1.808541,3.990903,2.002795,3.698275,
562.000000,0.057830,2.878265,1.811262,3.996464,2.004747,3.703457,
563.000000,0.054967,2.893311,1.813979,4.002019,2.006698,3.708634,
