Opt.,Const.,of,B-Spline,vs.,nm
Wavelength(nm),n_21,k_21,n22,k22,n23,k23,n124,k124,n_Pd_model,k_Pd_model
422.000000,2.860806,1.848592,2.858984,1.796690,2.913955,1.704323,2.949212,1.350376,3.086128,
423.000000,2.865093,1.851399,2.863345,1.799148,2.918694,1.706635,2.954498,1.352699,3.092514,
424.000000,2.869365,1.854198,2.867696,1.801599,2.923430,1.708943,2.959781,1.355018,3.098887,
425.000000,2.873623,1.856988,2.872038,1.804043,2.928164,1.711249,2.965061,1.357333,3.105247,
426.000000,2.877869,1.859767,2.876369,1.806479,2.932897,1.713552,2.970339,1.359645,3.111595,
427.000000,2.882103,1.862536,2.880690,1.808908,2.937629,1.715854,2.975615,1.361952,3.117929,
428.000000,2.886325,1.865293,2.885000,1.811329,2.942363,1.718154,2.980889,1.364256,3.124251,
429.000000,2.890537,1.868037,2.889299,1.813744,2.947097,1.720454,2.986162,1.366557,3.130560,
430.000000,2.894739,1.870769,2.893588,1.816150,2.951833,1.722753,2.991434,1.368853,3.136857,
431.000000,2.898933,1.873487,2.897865,1.818550,2.956572,1.725052,2.996704,1.370993,3.142996,
432.000000,2.903117,1.876189,2.902133,1.820941,2.961314,1.727352,3.001974,1.372978,3.148978,
433.000000,2.907294,1.878876,2.906390,1.823326,2.966060,1.729653,3.007243,1.374960,3.154949,
434.000000,2.911464,1.881546,2.910640,1.825703,2.970810,1.731956,3.012512,1.376939,3.160909,
435.000000,2.915627,1.884197,2.914881,1.828073,2.975566,1.734259,3.017781,1.378915,3.166858,
436.000000,2.919782,1.886832,2.919118,1.830436,2.980326,1.736563,3.023050,1.380889,3.172796,
437.000000,2.923930,1.889449,2.923350,1.832792,2.985090,1.738867,3.028319,1.382861,3.178723,
438.000000,2.928071,1.892050,2.927578,1.835141,2.989858,1.741170,3.033589,1.384830,3.184639,
439.000000,2.932205,1.894634,2.931803,1.837484,2.994631,1.743472,3.038860,1.386796,3.190544,
440.000000,2.936332,1.897203,2.936026,1.839820,2.999407,1.745772,3.044132,1.388760,3.196438,
441.000000,2.940451,1.899757,2.940248,1.842150,3.004188,1.748070,3.049405,1.390721,3.202322,
442.000000,2.944563,1.902296,2.944468,1.844473,3.008972,1.750366,3.054679,1.392679,3.208194,
443.000000,2.948668,1.904821,2.948687,1.846791,3.013760,1.752659,3.059955,1.394636,3.214056,
444.000000,2.952765,1.907333,2.952906,1.849102,3.018551,1.754948,3.065233,1.396589,3.219908,
445.000000,2.956856,1.909832,2.957125,1.851408,3.023346,1.757234,3.070513,1.398540,3.225749,
446.000000,2.960939,1.912318,2.961344,1.853708,3.028144,1.759515,3.075794,1.400488,3.231580,
447.000000,2.965015,1.914794,2.965562,1.856003,3.032945,1.761792,3.081078,1.402434,3.237400,
448.000000,2.969083,1.917258,2.969782,1.858292,3.037749,1.764064,3.086364,1.404378,3.243210,
449.000000,2.973144,1.919713,2.974001,1.860575,3.042556,1.766331,3.091652,1.406319,3.249009,
450.000000,2.977198,1.922159,2.978220,1.862854,3.047366,1.768592,3.096943,1.408257,3.254798,
451.000000,2.981244,1.924595,2.982438,1.865127,3.052178,1.770848,3.102235,1.410248,3.260647,
452.000000,2.985282,1.927023,2.986654,1.867396,3.056992,1.773100,3.107528,1.412727,3.267107,
453.000000,2.989312,1.929443,2.990869,1.869660,3.061806,1.775348,3.112821,1.415202,3.273554,
454.000000,2.993333,1.931853,2.995081,1.871919,3.066622,1.777593,3.118114,1.417673,3.279989,
455.000000,2.997344,1.934254,2.999290,1.874174,3.071438,1.779836,3.123404,1.420139,3.286411,
456.000000,3.001347,1.936647,3.003497,1.876425,3.076253,1.782077,3.128691,1.422601,3.292820,
457.000000,3.005339,1.939030,3.007701,1.878672,3.081068,1.784316,3.133976,1.425059,3.299217,
458.000000,3.009322,1.941404,3.011903,1.880915,3.085881,1.786555,3.139256,1.427513,3.305602,
459.000000,3.013294,1.943768,3.016101,1.883154,3.090693,1.788794,3.144532,1.429962,3.311975,
460.000000,3.017256,1.946122,3.020296,1.885390,3.095502,1.791033,3.149802,1.432408,3.318335,
461.000000,3.021206,1.948466,3.024488,1.887622,3.100308,1.793272,3.155067,1.434849,3.324683,
462.000000,3.025146,1.950800,3.028677,1.889851,3.105112,1.795513,3.160324,1.437286,3.331019,
463.000000,3.029074,1.953124,3.032863,1.892077,3.109912,1.797756,3.165574,1.439720,3.337343,
464.000000,3.032991,1.955436,3.037046,1.894300,3.114709,1.800000,3.170816,1.442149,3.343655,
465.000000,3.036895,1.957738,3.041227,1.896519,3.119501,1.802248,3.176049,1.444574,3.349955,
466.000000,3.040788,1.960028,3.045406,1.898736,3.124289,1.804498,3.181273,1.446995,3.356244,
467.000000,3.044668,1.962306,3.049583,1.900950,3.129071,1.806751,3.186488,1.449412,3.362520,
468.000000,3.048537,1.964573,3.053759,1.903162,3.133850,1.809008,3.191693,1.451825,3.368785,
469.000000,3.052395,1.966827,3.057934,1.905371,3.138624,1.811267,3.196890,1.454234,3.375039,
470.000000,3.056243,1.969070,3.062109,1.907578,3.143394,1.813529,3.202079,1.456639,3.381281,
471.000000,3.060081,1.971302,3.066285,1.909782,3.148162,1.815794,3.207261,1.459041,3.387511,
472.000000,3.063911,1.973522,3.070462,1.911984,3.152927,1.818061,3.212437,1.461499,3.393753,
473.000000,3.067733,1.975732,3.074640,1.914184,3.157689,1.820330,3.217608,1.463993,3.399998,
474.000000,3.071548,1.977931,3.078819,1.916382,3.162450,1.822601,3.222774,1.466483,3.406231,
475.000000,3.075356,1.980120,3.083000,1.918578,3.167209,1.824874,3.227935,1.468969,3.412454,
476.000000,3.079158,1.982299,3.087183,1.920771,3.171967,1.827148,3.233092,1.471451,3.418665,
